ExternOrderNo,SKU,Order Qty
2001807058,8.90422E+12,1.00
2001807058,8.90422E+12,1.00
2001807058,8.90422E+12,1.00
2001807058,8.90422E+12,1.00
2001807058,8.90422E+12,1.00
2001807036,8.90422E+12,4.00
2001807036,8.90422E+12,4.00
2001807036,8.90422E+12,4.00
2001807036,8.90422E+12,1.00
2001807012,8.90422E+12,1.00
2001807004,8.90422E+12,1.00
2001807004,8.90422E+12,1.00
2001807004,8.90422E+12,1.00
2001806968,8.90422E+12,1.00
2001806968,8.90422E+12,1.00
2001806968,8.90422E+12,1.00
2001806885,8.90422E+12,2.00
2001806885,8.90422E+12,2.00
2001806828,8.90422E+12,1.00
2001806828,8.90422E+12,1.00
2001806828,8.90422E+12,1.00
2001806823,8.90422E+12,1.00
2001806801,8.90422E+12,1.00
2001806801,8.90422E+12,1.00
2001806776,8.90422E+12,1.00
2001806776,8.90422E+12,2.00
2001806776,8.90422E+12,1.00
2001806768,8.90422E+12,4.00
2001806735,8.90422E+12,1.00
2001806735,8.90422E+12,1.00
2001806735,8.90422E+12,1.00
2001806733,8.90422E+12,1.00
2001806733,8.90422E+12,1.00
2001806733,8.90422E+12,1.00
2001806733,8.90422E+12,1.00
2001806733,8.90422E+12,1.00
2001806726,8.90422E+12,1.00
2001806726,8.90422E+12,1.00
2001806726,8.90422E+12,1.00
2001806686,8.90422E+12,1.00
2001806652,8.90422E+12,1.00
2001806652,8.90422E+12,1.00
2001806652,8.90422E+12,1.00
2001806616,8.90422E+12,1.00
2001806616,8.90422E+12,1.00
2001806616,8.90422E+12,1.00
2001806616,8.90422E+12,1.00
2001806616,8.90422E+12,1.00
2001806616,8.90422E+12,1.00
2001806575,8.90422E+12,1.00
2001806575,8.90422E+12,1.00
2001806575,8.90422E+12,1.00
2001806567,8.90422E+12,1.00
2001806567,8.90422E+12,1.00
2001806567,8.90422E+12,1.00
2001806567,8.90422E+12,1.00
2001806567,8.90422E+12,1.00
2001806567,8.90422E+12,1.00
2001806547,8.90422E+12,1.00
2001806533,8.90422E+12,1.00
2001806533,8.90422E+12,1.00
2001806533,8.90422E+12,1.00
2001806471,8.90422E+12,2.00
